                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1897,                 4.2008,                 1.3124,                 0.7054,                0.10899,                0.10989,                0.07216,                0.86591,                 5.5437,                0.97439,             0.00010669,             0.00010669,             0.00010669
                      2,                 1.1738,                 3.0557,                 1.3051,                0.59507,                0.26395,                0.23018,                0.14112,                0.88805,                 12.398,                 1.0068,             0.00020829,             0.00020829,             0.00020829
                      3,                  1.149,                 2.6093,                  1.303,                0.64417,                0.29196,                0.30228,                0.19445,                0.86224,                 10.878,                0.98805,              0.0003038,              0.0003038,              0.0003038
                      4,                 1.1279,                 2.3727,                 1.2885,                 0.5939,                0.35347,                0.32818,                0.20884,                0.91667,                 20.339,                 1.0479,             0.00029559,             0.00029559,             0.00029559
                      5,                 1.0834,                 2.2186,                 1.2617,                0.57828,                0.37505,                0.37608,                0.24034,                0.87588,                 13.011,                 1.0048,             0.00028645,             0.00028645,             0.00028645
                      6,                  1.084,                 2.1005,                 1.2406,                0.68975,                0.35471,                0.38534,                0.24863,                0.83394,                 15.812,                0.96096,             0.00027732,             0.00027732,             0.00027732
                      7,                 1.0486,                 1.9929,                 1.2264,                0.61877,                0.38524,                0.39287,                0.26161,                0.83687,                 12.781,                0.96024,             0.00026818,             0.00026818,             0.00026818
                      8,                 1.0291,                 1.9072,                 1.2056,                0.68204,                0.41397,                0.42226,                0.28169,                0.80128,                 16.989,                0.94089,             0.00025905,             0.00025905,             0.00025905
                      9,                  1.015,                 1.8968,                 1.2108,                0.61357,                0.43396,                0.42497,                0.28175,                0.79864,                 12.164,                0.94857,             0.00024991,             0.00024991,             0.00024991
                     10,                 1.0143,                 1.7998,                 1.2045,                0.66144,                0.43101,                0.43519,                0.29469,                 0.8074,                 12.329,                0.94337,             0.00024077,             0.00024077,             0.00024077
